modelId,brand,model,isDSLR,year,model_median,numAucListing_median,numFixListing_median,auc_median
0,canon,1Ds,1,2002,174.725,0.0,0.0,0.9977106882243525
1,canon,1Ds Mk II,1,2004,382.5,1.0,1.0,0.7908496732026145
2,canon,1Ds Mk III,1,2007,744.995,1.0,0.0,0.8187974415935677
3,canon,1D,1,2001,95.0,0.5,0.0,1.0315789473684212
4,canon,1D Mk II,1,2004,150.0,1.0,0.0,0.82
5,canon,1D Mk II N,1,2005,175.0,0.5,0.0,0.8285142857142858
6,canon,1D Mk III,1,2007,325.0,1.0,0.0,0.8461538461538461
7,canon,1D Mk IV,1,2009,750.0,1.0,1.0,0.8666666666666667
8,canon,1D X,1,2012,1750.0,1.0,2.0,0.78
9,canon,1D C,1,2012,2000.0,0.0,0.0,1.0
10,canon,1D X Mk II,1,2016,3700.0,0.5,0.0,0.8513513513513513
11,canon,5D,1,2005,269.5,2.0,7.0,0.8812615955473099
12,canon,5D Mk II,1,2008,455.0,16.0,12.0,0.9560439560439561
13,canon,5D Mk III,1,2012,998.5,19.0,15.0,0.9559339008512769
14,canon,5D Mk IV,1,2016,1926.0,6.0,2.0,0.9745586708203531
15,canon,5Ds,1,2015,1276.0,0.5,1.0,0.9796238244514106
16,canon,5Ds R,1,2015,1512.5,1.0,3.0,0.9874380165289256
17,canon,6D,1,2012,575.0,11.0,9.0,0.9586956521739131
18,canon,6D Mk II,1,2017,1049.9850000000001,3.0,2.0,0.9523945580174954
19,canon,7D,1,2009,260.0,10.0,7.0,0.8894230769230769
20,canon,7D Mk II,1,2014,700.0,5.0,4.0,0.9785714285714285
21,canon,D30,1,2000,88.0,0.0,1.0,1.3778409090909092
22,canon,D60,1,2002,67.0,0.0,0.0,0.746268656716418
23,canon,10D,1,2003,34.99,0.0,1.0,0.7144898542440697
24,canon,20D,1,2004,45.0,1.0,2.0,0.7555555555555555
26,canon,30D,1,2006,55.0,2.0,1.0,0.7636363636363637
27,canon,40D,1,2007,85.0,1.5,2.5,0.8352941176470589
28,canon,50D,1,2008,148.75,3.0,1.0,0.8033613445378152
29,canon,60D,1,2010,227.5,7.0,4.0,0.9120879120879121
30,canon,60Da,1,2012,750.0,0.0,0.0,1.0
31,canon,70D,1,2013,379.995,6.0,10.0,0.9236963644258478
32,canon,77D,1,2017,480.0,1.0,1.0,1.0
33,canon,80D,1,2016,610.0,7.0,3.0,0.9754098360655737
35,canon,300D Digital Rebel,1,2003,29.975,0.0,1.0,0.8440366972477064
36,canon,350D Rebel XT,1,2005,50.0,3.0,4.0,1.04
37,canon,400D Rebel XTi,1,2007,57.5,3.0,6.0,0.8956521739130434
38,canon,450D Rebel XSi,1,2008,91.0,2.0,4.0,0.7980769230769231
39,canon,500D Rebel T1i,1,2009,113.61,3.5,4.0,0.8801601971657425
40,canon,550D Rebel T2i,1,2010,140.0,5.0,8.0,0.8964285714285715
41,canon,600D Rebel T3i,1,2011,192.5,8.0,9.0,0.8720519480519481
42,canon,650D Rebel T4i,1,2012,208.75,3.0,2.0,0.9101796407185629
43,canon,700D Rebel T5i,1,2013,259.0,4.0,5.0,0.888030888030888
44,canon,750D Rebel T6i,1,2015,370.0,4.0,7.0,0.9459459459459459
45,canon,760D Rebel T6s,1,2015,382.5,0.0,1.0,0.9856209150326798
46,canon,800D Rebel T7i,1,2017,457.5,1.0,1.0,0.912568306010929
47,canon,1000D Rebel XS,1,2008,69.995,0.0,1.0,0.8357739838559897
48,canon,1100D Rebel T3,1,2011,125.0,5.0,4.0,0.94
49,canon,1200D Rebel T5,1,2014,193.0,4.0,7.0,0.8419689119170984
50,canon,1300D Rebel T6,1,2016,240.68,4.0,9.0,0.8933023101213229
51,canon,2000D Rebel T7,1,2018,337.5,0.0,0.0,0.5718518518518518
53,canon,100D Rebel SL1,1,2013,199.99,2.0,4.0,0.872543627181359
54,canon,200D Rebel SL2,1,2017,365.0,0.5,1.0,0.9246575342465753
55,canon,250D Rebel SL3,1,2019,500.0,0.0,0.0,1.0
56,canon,R,1,2018,1650.0,1.0,0.0,0.993030303030303
57,canon,RP,1,2019,999.99,0.0,0.0,1.000010000100001
58,canon,M,1,2012,300.0,3.0,5.0,1.0711166666666667
59,canon,M2,1,2013,159.5,1.0,0.0,0.9498432601880877
60,canon,M3,1,2015,200.0,0.0,0.0,0.935
61,canon,M5,1,2016,357.775,1.0,1.0,0.9363426734679617
62,canon,M6,1,2017,329.97,0.0,0.0,0.8917477346425432
63,canon,M50,1,2018,470.0,1.0,2.5,1.0319148936170213
64,canon,M10,1,2015,158.245,0.5,0.0,0.9589560491642706
65,canon,M100,1,2017,218.995,0.0,0.0,1.1644101463503733
66,canon,IXUS 60,0,2006,13.725,0.5,0.0,0.8378870673952642
67,canon,IXUS 65,0,2006,24.99,0.0,1.0,0.5602240896358543
68,canon,IXUS 800 IS,0,2006,15.0,0.0,0.0,1.1333333333333333
69,canon,IXUS 850 IS,0,2006,16.49,0.0,0.5,0.9396604002425712
72,canon,IXUS 75,0,2007,9.5,0.0,2.0,0.5526315789473685
73,canon,IXUS 950 IS,0,2007,9.0,0.0,0.0,0.9
74,canon,IXUS 860 IS,0,2007,14.0,0.0,0.5,0.6428571428571429
75,canon,IXUS 960 IS,0,2007,35.5,0.0,0.0,1.0
76,canon,IXUS 80 IS,0,2008,14.99,1.0,3.0,0.7254836557705137
78,canon,IXUS 90 IS,0,2008,15.0,0.0,1.0,1.0
79,canon,IXUS 970 IS,0,2008,15.75,0.0,0.0,0.8095238095238095
80,canon,IXUS 870 IS,0,2008,24.45,0.0,0.0,0.48261758691206547
82,canon,IXUS 95 IS,0,2009,15.0,0.0,0.5,0.9333333333333333
83,canon,IXUS 100 IS,0,2009,25.0,0.0,2.0,0.6
89,canon,IXUS 130,0,2010,23.5,0.0,1.0,0.7553191489361702
90,canon,IXUS 210,0,2010,35.0,0.0,0.0,0.522
91,canon,IXUS 300 HS,0,2010,22.97,0.0,0.0,1.0
94,canon,IXUS 220 HS,0,2011,30.0,1.0,1.0,0.9
95,canon,IXUS 115 HS,0,2011,30.99,0.5,2.0,0.8065505001613424
98,canon,IXUS 500 HS,0,2012,27.75,0.0,0.5,0.7744144144144144
99,canon,IXUS 125 HS,0,2012,46.05,1.0,1.0,0.6514657980456027
103,canon,IXUS 255 HS,0,2013,44.975,0.0,0.0,0.7559755419677598
104,canon,IXUS 132,0,2013,28.0,0.0,0.0,0.7375
106,canon,IXUS 140,0,2013,26.0,0.0,0.0,0.8269230769230769
107,canon,IXUS 265 HS,0,2014,67.5,0.0,0.0,0.7555555555555555
110,canon,IXUS 155,0,2014,31.68,0.0,0.0,1.0
111,canon,IXUS 160,0,2015,35.0,0.5,0.5,0.8
113,canon,IXUS 170,0,2015,45.0,0.0,0.0,0.7555555555555555
114,canon,IXUS 275 HS,0,2015,63.305,0.0,0.0,0.9890214043124556
115,canon,IXUS 175,0,2016,47.5,0.0,0.0,1.0
116,canon,IXUS 180,0,2016,59.99,0.0,0.0,0.8668111351891982
117,canon,IXUS 285 HS,0,2016,78.0,0.0,0.0,0.8717948717948718
118,canon,IXUS 185,0,2017,56.84,0.0,0.0,1.0
120,nikon,D3X,1,2008,995.0,0.0,2.0,0.7597889447236181
121,nikon,D2Xs,1,2006,188.25,0.5,0.0,0.9349269588313412
122,nikon,D2X,1,2004,191.5,1.0,1.0,0.7741253263707573
123,nikon,D1X,1,2001,51.9,1.0,0.0,0.8766859344894027
124,nikon,D1,1,1999,75.0,0.0,1.0,0.7333333333333333
125,nikon,D5,1,2016,3672.975,1.0,1.0,0.9937448526058577
126,nikon,D4S,1,2014,2027.5,0.5,1.0,0.9297163995067818
127,nikon,D4,1,2012,1365.0,1.0,2.0,0.915018315018315
128,nikon,D3S,1,2009,720.0,1.0,2.0,0.9305555555555556
129,nikon,D3,1,2007,498.5,2.0,1.0,0.9829488465396188
130,nikon,D2Hs,1,2005,99.0,0.0,0.0,0.9090909090909092
131,nikon,D2H,1,2003,99.99,1.5,0.5,0.9100910091009101
133,nikon,D850,1,2017,2300.0,4.0,2.0,0.9997826086956522
134,nikon,D810,1,2014,1150.0,9.0,8.0,0.9579347826086957
135,nikon,D800,1,2012,700.0,10.0,8.0,0.9414285714285714
136,nikon,D700,1,2008,399.995,6.0,8.0,0.9350116876460955
137,nikon,D750,1,2014,872.0,9.0,4.0,0.963302752293578
138,nikon,Df,1,2013,1052.5,1.0,1.5,1.0
139,nikon,D610,1,2013,588.0,4.0,3.0,0.9268707482993197
140,nikon,D600,1,2012,457.5,4.0,3.0,0.9256830601092896
141,nikon,D500,1,2016,1059.0,3.0,3.0,0.9513644948064212
142,nikon,D300S,1,2009,225.0,2.0,4.0,0.7177777777777778
143,nikon,D300,1,2007,150.0,3.0,5.0,0.9256
144,nikon,D200,1,2005,81.5,2.0,4.0,0.8159509202453987
145,nikon,D100,1,2002,44.875,0.0,2.0,0.6016713091922006
146,nikon,D7500,1,2017,661.0,2.0,3.0,0.9591527987897126
147,nikon,D7200,1,2015,500.0,4.5,4.0,0.95
148,nikon,D7100,1,2013,365.0,8.0,8.0,0.9616438356164384
149,nikon,D7000,1,2010,225.0,9.0,8.0,0.9222222222222223
150,nikon,D90,1,2008,135.0,5.0,5.0,0.9131481481481482
151,nikon,D80,1,2006,79.995,2.0,4.0,0.7000437527345459
152,nikon,D70s,1,2005,49.99,1.0,0.0,0.9641928385677135
153,nikon,D70,1,2004,32.0,1.0,2.5,0.8125
154,nikon,D5600,1,2016,405.5,0.0,2.0,0.9247842170160296
155,nikon,D5500,1,2015,320.0,1.0,4.0,0.93828125
156,nikon,D5300,1,2013,271.0,3.0,2.0,0.981549815498155
157,nikon,D5200,1,2012,200.0,2.0,0.0,0.89035
158,nikon,D5100,1,2011,150.0,2.0,1.0,0.9341666666666666
159,nikon,D5000,1,2009,91.9,0.0,3.0,0.8269858541893362
160,nikon,D60,1,2008,67.0,1.0,1.0,0.9626865671641791
161,nikon,D40X,1,2007,71.0,1.0,0.0,0.9295774647887324
162,nikon,D50,1,2005,51.0,0.5,0.5,0.7843137254901961
163,nikon,D3500,1,2018,277.0,0.0,1.0,1.0
164,nikon,D3400,1,2016,229.97,2.0,3.0,0.7718398051919816
165,nikon,D3300,1,2014,189.0,2.0,3.5,0.9126984126984127
166,nikon,D3200,1,2012,170.0,3.5,9.0,0.9061176470588235
167,nikon,D3100,1,2010,91.0,3.0,2.0,0.8736263736263736
168,nikon,D3000,1,2009,83.975,0.0,5.0,0.6073236082167313
169,nikon,D40,1,2006,63.0,1.5,2.0,0.8174603174603174
170,nikon,Coolpix A,0,2013,250.0,0.0,0.0,0.834
171,nikon,Coolpix A10,0,2016,31.25,0.0,0.0,1.04
172,nikon,Coolpix A100,0,2016,69.0,0.0,0.0,1.0
173,nikon,Coolpix A300,0,2016,52.5,0.0,2.0,0.9428571428571428
174,nikon,Coolpix A900,0,2016,165.0,1.0,3.0,0.9272727272727272
176,nikon,Coolpix AW100,0,2011,70.0,2.0,4.0,0.7857142857142857
177,nikon,Coolpix AW110,0,2013,69.99,1.0,1.0,0.8643377625375055
178,nikon,Coolpix AW120,0,2014,89.99,1.0,1.0,0.9667740860095567
179,nikon,Coolpix AW130,0,2015,130.0,1.0,0.5,0.9923076923076923
180,nikon,Coolpix B500,0,2016,100.0,6.0,6.5,0.96
181,nikon,Coolpix B600,0,2019,207.0,0.0,0.5,1.0
182,nikon,Coolpix B700,0,2016,288.0,1.0,0.5,0.9809027777777778
185,nikon,Coolpix L3,0,2006,9.95,0.0,0.0,0.6778894472361809
186,nikon,Coolpix L4,0,2006,8.7,1.0,0.0,0.9770114942528737
188,nikon,Coolpix L6,0,2006,12.0,0.0,0.0,0.6666666666666666
189,nikon,Coolpix L10,0,2007,8.99,0.0,0.5,1.6117908787541713
190,nikon,Coolpix L11,0,2007,10.0,0.5,0.0,0.795
191,nikon,Coolpix L12,0,2007,9.99,0.0,0.0,0.9504504504504505
192,nikon,Coolpix L14,0,2007,15.99,0.0,0.0,1.0
194,nikon,Coolpix L16,0,2008,16.495,0.0,0.0,1.0
195,nikon,Coolpix L18,0,2008,11.0,0.5,1.0,0.6295454545454546
196,nikon,Coolpix L19,0,2009,25.25,0.0,0.0,0.4889108910891089
197,nikon,Coolpix L20,0,2009,13.01,0.0,4.0,0.622598001537279
199,nikon,Coolpix L22,0,2010,15.99,1.0,2.0,0.6250781738586617
201,nikon,Coolpix L24,0,2011,17.994999999999997,0.0,2.0,0.5279244234509587
202,nikon,Coolpix L25,0,2011,17.99,0.0,0.0,1.0
203,nikon,Coolpix L26,0,2012,15.75,0.5,0.0,1.0158730158730158
204,nikon,Coolpix L27,0,2012,19.99,0.0,0.0,1.0005002501250626
205,nikon,Coolpix L28,0,2013,32.495000000000005,0.0,1.0,0.7985843975996306
206,nikon,Coolpix L29,0,2014,17.5,0.0,0.0,0.6857142857142857
207,nikon,Coolpix L30,0,2014,30.0,0.0,1.0,0.9033333333333334
208,nikon,Coolpix L100,0,2009,20.0,0.0,2.0,0.9369999999999999
209,nikon,Coolpix L110,0,2010,30.0,1.0,3.0,0.8500000000000001
210,nikon,Coolpix L120,0,2011,39.82,1.0,3.0,0.627197388247112
211,nikon,Coolpix L310,0,2013,31.0,1.0,1.0,0.8869354838709678
212,nikon,Coolpix L320,0,2013,32.0,1.0,1.0,0.75
213,nikon,Coolpix L330,0,2014,54.99,1.0,5.0,0.7637752318603382
214,nikon,Coolpix L610,0,2012,48.5,0.0,2.5,0.7010309278350515
215,nikon,Coolpix L620,0,2013,69.95,0.0,1.0,0.4502501786990707
216,nikon,Coolpix L810,0,2012,48.975,2.0,1.0,0.8226646248085758
217,nikon,Coolpix L820,0,2013,50.5,1.5,2.0,0.900990099009901
218,nikon,Coolpix L830,0,2014,68.0,3.0,5.0,0.8823529411764706
219,nikon,Coolpix L840,0,2015,85.0,1.0,2.0,0.8588235294117648
221,nikon,Coolpix P2,0,2005,13.0,0.0,0.0,1.0
223,nikon,Coolpix P4,0,2006,8.975,1.0,0.0,1.1142061281337048
226,nikon,Coolpix P80,0,2008,44.9,1.0,3.0,0.6503340757238307
227,nikon,Coolpix P90,0,2009,40.0,2.0,1.0,0.95
228,nikon,Coolpix P100,0,2010,49.99,1.0,0.5,0.660132026405281
229,nikon,Coolpix P300,0,2011,49.99,0.0,1.0,0.49409881976395276
231,nikon,Coolpix P330,0,2013,89.95,0.0,0.0,0.5928849360755976
232,nikon,Coolpix P340,0,2014,142.475,0.0,0.0,0.9475346552026672
233,nikon,Coolpix P500,0,2011,64.99,1.0,3.0,0.8462840436990307
234,nikon,Coolpix P510,0,2012,97.5,1.0,2.0,0.9384615384615385
235,nikon,Coolpix P520,0,2013,120.0,1.0,2.0,0.8332916666666667
236,nikon,Coolpix P530,0,2014,115.0,0.0,4.0,0.5913043478260869
237,nikon,Coolpix P600,0,2014,150.0,0.0,0.5,0.8633333333333333
238,nikon,Coolpix P610,0,2015,156.0,0.0,1.0,0.9807692307692308
239,nikon,Coolpix P900,0,2015,350.0,4.0,3.0,0.9771142857142857
240,nikon,Coolpix P1000,0,2018,710.0,2.0,0.0,1.0499999999999998
